,Provider,inp_out,inp_out,ClmAdmitDiagnosisCode,DiagnosisGroupCode,AttendingPhysician,OperatingPhysician,OtherPhysician,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,Gender,RenalDiseaseIndicator,InscClaimAmtReimbursed,InscClaimAmtReimbursed,IPAnnualReimbursementAmt,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,IPAnnualDeductibleAmt,Age,settlement_days,settlement_days,Days_Admit,Total_deductible,Total_deductible,Total_reimbursible,Total_reimbursible,ClaimID,State,County,PotentialFraud
10,PRV51015,8,0,0,0,3,1,4,4,7,4,3,4,7,8,7,3,3,1,16,0.0,87.5,700,1186.25,9490,267.0,2136,1445.0,2136,72.09212328767123,0.375,0,0.0,530.75,4246,2631.25,21050,8,1,3,0
11,PRV51016,6,0,2,0,3,1,0,2,4,4,3,2,2,5,5,2,3,1,9,0.0,28.333333333333332,170,0.0,0,0.0,0,878.3333333333334,0,70.79908675799088,0.3333333333333333,0,0.0,295.0,1770,878.3333333333334,5270,6,1,3,0
12,PRV51017,515,0,93,0,113,46,69,216,294,215,58,159,210,351,386,184,128,47,805,0.0,277.126213592233,142720,3322.7184466019417,1711200,385.4601941747573,198512,2370.990291262136,198512,72.65317728421333,1.3572815533980582,0,0.0,1074.7611650485437,553502,5693.708737864078,2932260,515,10,61,0
13,PRV51021,228,29,69,28,69,30,41,94,145,122,60,103,116,194,196,70,85,27,405,0.0,1357.3151750972763,348830,4886.964980544747,1255950,582.7859922178989,149776,2695.0972762645915,149776,73.09897127018816,2.0,0,0.5369649805447471,1352.8326848249028,347678,7582.062256809339,1948590,257,4,34,1
14,PRV51023,27,9,10,9,14,8,6,16,21,16,5,10,16,21,30,9,8,5,57,0.0,1822.5,65610,5320.277777777777,191530,843.4444444444445,30364,2475.5555555555557,30364,73.28538812785388,3.6666666666666665,0,0.8888888888888888,1612.888888888889,58064,7795.833333333333,280650,36,1,7,0
15,PRV51024,30,9,15,9,13,5,8,15,21,23,5,14,16,30,29,11,14,6,61,0.0,1642.3076923076924,64050,4566.666666666667,178100,629.8461538461538,24564,1973.076923076923,24564,68.61671935370566,1.641025641025641,0,1.0,1298.5641025641025,50644,6539.74358974359,255050,39,2,10,0
16,PRV51025,74,13,28,13,35,15,20,28,47,40,13,28,41,64,62,31,26,6,133,0.0,1360.344827586207,118350,4823.563218390805,419650,552.4137931034483,48060,2288.9655172413795,48060,74.07334278066446,2.1724137931034484,0,1.0459770114942528,1173.7931034482758,102120,7112.528735632184,618790,87,2,13,0
17,PRV51026,76,0,11,0,29,10,18,30,33,30,11,15,39,56,50,17,23,6,116,0.0,261.05263157894734,19840,3971.0526315789475,301800,461.05263157894734,35040,1811.578947368421,35040,70.08125450612833,1.0921052631578947,0,0.0,1141.4473684210527,86750,5782.631578947368,439480,76,3,9,0
18,PRV51027,53,0,8,0,10,6,5,23,36,27,9,16,30,41,43,10,13,8,80,0.0,563.0188679245283,29840,6231.132075471698,330250,705.2830188679245,37380,3564.5283018867926,37380,73.52881881623159,2.1320754716981134,0,0.0,1652.4528301886792,87580,9795.66037735849,519170,53,2,5,0
19,PRV51029,93,0,14,0,38,10,17,32,45,33,9,29,30,62,66,17,28,13,146,0.0,329.6774193548387,30660,3849.032258064516,357960,409.03225806451616,38040,1660.967741935484,38040,71.41154809250257,0.6989247311827957,0,0.0,902.1505376344086,83900,5510.0,512430,93,6,17,0
20,PRV51030,89,82,88,74,46,12,23,73,111,81,30,65,76,125,138,48,59,13,271,0.0,4326.081871345029,739760,7453.333333333333,1274520,1009.4035087719299,172608,2499.1812865497077,172608,72.35392133301289,3.198830409356725,0,2.216374269005848,1675.076023391813,286438,9952.51461988304,1701880,171,2,14,0
21,PRV51031,157,28,55,28,60,16,28,90,128,89,19,71,81,130,151,85,54,19,301,0.0,1944.4324324324325,359720,6142.648648648648,1136390,709.9027027027028,131332,1868.0,131332,73.14179933358015,2.0,0,0.8378378378378378,1323.1459459459459,244782,8010.648648648648,1481970,185,4,29,0
22,PRV51032,23,0,7,0,10,4,8,9,15,10,5,8,11,16,16,4,5,3,36,0.0,235.65217391304347,5420,8186.086956521739,188280,1099.6521739130435,25292,1402.608695652174,25292,69.84157236450268,0.9130434782608695,0,0.0,1523.5652173913043,35042,9588.695652173914,220540,23,3,5,0
23,PRV51035,29,1,7,1,18,7,8,8,18,18,4,11,18,22,24,10,7,8,48,0.0,1085.3333333333333,32560,3605.3333333333335,108160,356.0,10680,1332.0,10680,74.36867579908676,2.2666666666666666,0,0.4666666666666667,795.3333333333334,23860,4937.333333333333,148120,30,2,8,0
24,PRV51036,278,0,39,0,5,3,4,99,159,109,31,95,132,201,201,95,82,19,442,0.0,269.3525179856115,74880,5654.3165467625895,1571900,585.0935251798561,162656,2070.5755395683454,162656,73.16904503794225,1.0503597122302157,0,0.0,1097.179856115108,305016,7724.892086330935,2147520,278,1,7,0
25,PRV51037,431,23,95,23,3,3,1,195,271,181,104,155,205,311,363,168,132,29,715,0.0,753.8105726872246,342230,3989.911894273128,1811420,644.7136563876652,292700,2154.0308370044054,292700,72.3960231730131,1.5330396475770924,0,0.23127753303964757,1218.4581497797358,553180,6143.942731277533,2789350,454,1,7,1
26,PRV51038,111,30,40,30,44,16,22,70,88,65,27,43,63,109,112,46,46,14,231,0.0,1882.9078014184397,265490,4961.276595744681,699540,628.6808510638298,88644,2191.1347517730496,88644,72.05180219566695,1.7801418439716312,0,0.8581560283687943,1251.659574468085,176484,7152.41134751773,1008490,141,3,15,0
27,PRV51040,77,9,23,9,15,8,11,35,54,33,7,25,41,63,66,21,20,11,132,0.0,865.9302325581396,74470,7919.53488372093,681080,574.7441860465116,49428,2433.0232558139537,49428,71.68423064670277,1.6627906976744187,0,1.1046511627906976,1176.6046511627908,101188,10352.558139534884,890320,86,2,10,0
28,PRV51041,34,0,4,0,9,4,5,16,17,7,10,10,15,22,24,7,9,2,54,0.0,217.94117647058823,7410,1373.5294117647059,46700,251.2941176470588,8544,2287.6470588235293,8544,70.88001611603545,2.3529411764705883,0,0.0,865.1176470588235,29414,3661.176470588235,124480,34,1,6,0
29,PRV51042,142,0,34,0,52,27,27,50,74,58,20,41,56,87,108,33,38,13,220,0.0,338.38028169014086,48050,4791.478873239436,680390,488.8732394366197,69420,2390.4225352112676,69420,73.14779085471734,1.232394366197183,0,0.0,1172.8169014084508,166540,7181.901408450704,1019830,142,9,28,0
30,PRV51043,23,0,4,0,6,2,4,8,16,7,3,8,9,18,15,9,5,0,36,0.0,194.7826086956522,4480,3136.9565217391305,72150,371.4782608695652,8544,1605.2173913043478,8544,74.62763549731983,0.0,0,0.0,921.9130434782609,21204,4742.173913043478,109070,23,2,4,0
31,PRV51044,59,0,13,0,1,1,1,22,34,30,7,19,22,35,50,22,21,4,85,0.0,361.52542372881356,21330,3621.6949152542375,213680,367.1186440677966,21660,2770.508474576271,21660,69.64425354074761,2.152542372881356,0,0.0,1335.2542372881355,78780,6392.203389830508,377140,59,1,5,0
32,PRV51045,31,0,5,0,16,4,8,16,17,15,3,15,13,23,23,6,6,2,50,0.0,270.64516129032256,8390,3838.3870967741937,118990,516.7741935483871,16020,1972.9032258064517,16020,71.91586389748122,2.2580645161290325,0,0.0,1064.8387096774193,33010,5811.290322580645,180150,31,3,9,0
33,PRV51046,30,8,13,8,6,2,4,14,21,12,13,15,18,31,35,15,17,3,65,0.0,2878.157894736842,109370,5885.789473684211,223660,562.1052631578947,21360,2156.5789473684213,21360,72.61211247296323,1.631578947368421,0,0.9473684210526315,1235.2631578947369,46940,8042.368421052632,305610,38,1,6,0
34,PRV51047,11,0,3,0,10,1,5,3,6,4,0,4,4,7,7,3,4,1,16,0.0,230.0,2530,4106.363636363636,45170,661.0909090909091,7272,1662.7272727272727,7272,71.04931506849316,3.090909090909091,0,0.0,1353.8181818181818,14892,5769.090909090909,63460,11,2,6,0
35,PRV51048,34,4,7,4,15,7,8,22,22,14,5,13,20,32,31,8,19,1,59,0.0,728.9473684210526,27700,4223.684210526316,160500,449.6842105263158,17088,2144.4736842105262,17088,70.78139870223504,0.6052631578947368,0,0.5,1010.4736842105264,38398,6368.1578947368425,241990,38,1,9,0
36,PRV51049,71,0,16,0,35,11,21,33,45,30,13,34,33,49,44,22,21,7,108,0.0,305.9154929577465,21720,2363.6619718309857,167820,530.9859154929577,37700,3230.9859154929577,37700,71.19737603704418,1.7887323943661972,0,0.0,1575.0704225352113,111830,5594.647887323944,397220,71,4,21,0
37,PRV51052,44,2,14,2,17,5,6,15,29,18,6,12,19,27,32,15,13,5,71,0.0,669.5652173913044,30800,2940.4347826086955,135260,417.9130434782609,19224,2126.7391304347825,19224,72.08195354377607,2.282608695652174,0,0.391304347826087,917.2608695652174,42194,5067.173913043478,233090,46,1,7,1
38,PRV51053,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0.0,8000.0,8000,8000.0,8000,1068.0,1068,90.0,1068,68.63287671232877,5.0,5,5.0,1068.0,1068,8090.0,8090,1,1,1,0
39,PRV51054,57,0,13,0,3,2,2,21,28,25,2,20,24,29,29,6,7,6,88,0.0,265.43859649122805,15130,2494.7368421052633,142200,206.10526315789474,11748,2455.964912280702,11748,70.8565729391973,2.3508771929824563,0,0.0,1081.8947368421052,61668,4950.701754385965,282190,57,1,4,0
40,PRV51055,20,2,6,2,6,3,3,10,15,8,4,8,13,11,17,7,7,3,34,0.0,983.6363636363636,21640,5162.272727272727,113570,436.90909090909093,9612,1344.090909090909,9612,69.29800747198009,0.5909090909090909,0,0.5,939.1818181818181,20662,6506.363636363636,143140,22,1,8,0
41,PRV51056,20,2,7,2,5,3,4,10,13,15,5,6,12,20,18,12,6,5,35,0.0,668.1818181818181,14700,6709.545454545455,147610,1019.4545454545455,22428,3560.4545454545455,22428,77.26612702366127,0.7272727272727273,0,0.2727272727272727,1980.8181818181818,43578,10270.0,225940,22,1,6,0
42,PRV51057,5,0,1,0,1,1,1,0,4,1,2,1,0,1,5,0,2,0,8,0.0,1366.0,6830,12000.0,60000,427.2,2136,3138.0,2136,78.68712328767124,0.0,0,0.0,1301.2,6506,15138.0,75690,5,1,1,0
43,PRV51058,78,5,20,5,31,11,17,31,44,34,9,23,40,62,66,31,26,9,128,0.0,1289.5180722891566,107030,5430.240963855422,450710,628.0481927710844,52128,2156.144578313253,52128,73.92738075590032,1.3012048192771084,0,0.4457831325301205,1292.0240963855422,107238,7586.385542168675,629670,83,2,10,0
44,PRV51059,71,25,35,24,30,15,17,31,62,38,15,29,37,62,66,28,26,10,167,0.0,4386.041666666667,421060,11978.854166666666,1149970,871.7916666666666,83692,2192.0833333333335,83692,74.5830194063927,2.4791666666666665,0,1.7916666666666667,1266.5833333333333,121592,14170.9375,1360410,96,1,17,1
45,PRV51060,37,5,12,5,28,5,8,16,25,19,6,16,20,33,30,8,13,4,62,0.0,1040.7142857142858,43710,3784.285714285714,158940,584.8571428571429,24564,1463.5714285714287,24564,71.94253098499674,2.3095238095238093,0,0.5714285714285714,1147.7142857142858,48204,5247.857142857143,220410,42,2,15,0
46,PRV51061,144,1,28,1,6,4,5,36,62,58,21,39,67,105,104,48,37,12,244,0.0,378.8965517241379,54940,4060.0,588700,522.951724137931,75828,3303.3793103448274,75828,77.44306093528579,2.393103448275862,0,0.05517241379310345,1367.0206896551724,198218,7363.379310344828,1067690,145,2,5,0
47,PRV51062,394,3,67,3,6,4,1,175,241,190,68,120,204,295,283,153,101,51,659,0.0,386.3476070528967,153380,7072.493702770781,2807780,629.5012594458439,249912,2619.5465994962215,249912,73.28515924226217,1.5969773299748111,0,0.0327455919395466,1378.0654911838792,547092,9692.040302267003,3847740,397,1,12,0
48,PRV51063,148,0,36,0,3,3,0,63,90,68,19,43,64,104,115,38,41,16,236,0.0,345.3378378378378,51110,3274.527027027027,484630,331.94594594594594,49128,2361.824324324324,49128,69.99137356534617,1.6216216216216217,0,0.0,1009.8513513513514,149458,5636.351351351352,834180,149,1,14,0
49,PRV51064,267,36,69,34,111,46,65,110,191,139,39,107,145,221,239,101,92,41,473,0.0,1189.1749174917493,360320,4816.732673267326,1459470,574.6930693069307,174132,2739.1419141914193,174132,73.42547131425472,1.9504950495049505,0,0.6303630363036303,1309.0825082508252,396652,7555.874587458746,2289430,303,4,39,1
50,PRV51065,18,10,16,10,9,4,4,12,19,10,1,9,16,20,23,6,5,7,45,0.0,2734.6428571428573,76570,5653.214285714285,158290,719.8571428571429,20156,1754.2857142857142,20156,75.72876712328767,2.9285714285714284,0,2.0,1300.5714285714287,36416,7407.5,207410,28,1,6,0
51,PRV51066,22,2,10,2,7,5,6,12,14,7,2,6,7,13,17,7,6,2,40,0.0,1032.9166666666667,24790,5000.0,120000,442.1666666666667,10612,1150.0,10612,69.07522831050228,1.0833333333333333,0,0.16666666666666666,1005.5,24132,6150.0,147600,24,1,5,0
52,PRV51067,46,12,16,12,21,5,14,17,37,25,12,14,33,41,43,21,15,3,97,0.0,5767.586206896552,334520,12108.965517241379,702320,736.551724137931,42720,1909.655172413793,42720,68.45753424657534,2.310344827586207,0,1.3620689655172413,1078.448275862069,62550,14018.620689655172,813080,58,1,8,1
53,PRV51068,252,9,53,9,79,35,45,99,150,101,39,72,105,186,182,78,76,31,416,0.0,548.8888888888889,143260,2822.4137931034484,736650,410.68199233716473,107188,1907.9310344827586,107188,71.22081561958747,1.3754789272030652,0,0.10344827586206896,982.9348659003831,256546,4730.3448275862065,1234620,261,2,15,0
54,PRV51070,89,10,29,10,46,15,16,29,54,36,17,23,38,70,74,24,16,12,149,0.0,1266.7676767676767,125410,5531.313131313132,547600,528.6060606060606,52332,2945.050505050505,52332,70.50103777501037,1.9090909090909092,0,0.41414141414141414,1319.919191919192,130672,8476.363636363636,839160,99,5,20,0
55,PRV51071,24,0,4,0,11,2,5,12,14,8,2,9,14,18,21,10,5,4,41,0.0,356.25,8550,4195.833333333333,100700,267.0,6408,2279.1666666666665,6408,68.95422374429224,2.0833333333333335,0,0.0,707.8333333333334,16988,6475.0,155400,24,2,9,0
56,PRV51072,200,12,50,12,47,22,45,76,118,94,25,75,74,157,160,73,70,18,334,0.0,562.122641509434,119170,4227.924528301887,896320,634.0188679245283,134412,2049.622641509434,134412,72.78060222279659,1.5377358490566038,0,0.24056603773584906,1234.254716981132,261662,6277.547169811321,1330840,212,3,23,0
57,PRV51074,34,5,9,5,14,5,5,15,23,18,6,13,18,28,34,14,10,1,63,0.0,1055.6410256410256,41170,5348.717948717948,208600,450.97435897435895,17588,1971.7948717948718,17588,73.48689848963822,1.8974358974358974,0,0.3333333333333333,1113.7948717948718,43438,7320.51282051282,285500,39,5,14,0
58,PRV51075,17,0,2,0,4,2,3,3,6,4,7,4,10,14,16,3,8,1,30,0.0,502.94117647058823,8550,2450.0,41650,188.47058823529412,3204,2908.823529411765,3204,77.2314262691378,1.1764705882352942,0,0.0,950.2352941176471,16154,5358.823529411765,91100,17,1,5,0
59,PRV51076,29,0,5,0,8,3,5,13,17,12,8,5,11,22,26,9,11,4,44,0.0,352.7586206896552,10230,4734.137931034483,137290,532.8275862068965,15452,2123.448275862069,15452,76.15323571091166,1.1724137931034482,0,0.0,1099.3793103448277,31882,6857.586206896552,198870,29,1,7,0
60,PRV51077,17,16,18,16,11,2,5,16,24,20,5,12,21,28,29,16,13,4,53,0.0,6192.424242424242,204350,9130.30303030303,301300,1035.6363636363637,34176,2504.5454545454545,34176,70.86791199667911,4.181818181818182,0,2.878787878787879,1816.8484848484848,59956,11634.848484848484,383950,33,1,4,1
61,PRV51078,14,9,13,9,13,5,5,7,14,7,3,8,10,16,16,7,5,4,40,0.0,3403.0434782608695,78270,4907.391304347826,112870,650.0869565217391,14952,952.6086956521739,14952,71.19106611078023,2.652173913043478,0,2.608695652173913,1020.9565217391304,23482,5860.0,134780,23,1,9,0
62,PRV51081,194,6,40,6,3,2,1,96,128,104,17,54,87,134,164,57,55,27,304,0.0,620.4,124080,4745.05,949010,421.86,84372,2594.9,84372,72.76943835616439,1.62,0,0.18,1189.01,237802,7339.95,1467990,200,2,7,0
63,PRV51082,33,0,6,0,9,3,5,14,14,13,2,5,11,28,21,8,7,3,57,0.0,153.63636363636363,5070,2608.4848484848485,86080,323.6363636363636,10680,2475.757575757576,10680,73.44499792444998,1.2121212121212122,0,0.0,908.1818181818181,29970,5084.242424242424,167780,34,1,6,0
64,PRV51083,90,0,26,0,18,8,15,37,55,43,13,28,47,65,73,30,23,10,147,0.0,201.11111111111111,18100,4015.8888888888887,361430,401.2,36108,2090.0,36108,75.26791476407915,1.3777777777777778,0,0.0,920.3111111111111,82828,6105.888888888889,549530,90,3,15,0
65,PRV51084,90,20,37,20,32,12,15,51,65,42,9,29,38,87,82,28,43,14,154,0.0,1959.8181818181818,215580,5070.0,557700,591.6363636363636,65080,1378.0,65080,72.87691158156912,1.6727272727272726,0,1.0272727272727273,988.2727272727273,108710,6448.0,709280,110,2,17,1
66,PRV51086,108,31,41,29,24,16,18,46,79,66,21,47,63,100,109,34,39,10,237,0.0,3209.856115107914,446170,6954.3165467625895,966650,613.2086330935252,85236,2327.1942446043167,85236,75.17019808810485,2.7985611510791366,0,1.079136690647482,1430.474820143885,198836,9281.510791366907,1290130,139,3,19,0
67,PRV51089,210,18,50,18,72,29,43,77,129,103,33,68,102,152,169,79,65,24,363,0.0,1012.719298245614,230900,6256.798245614035,1426550,607.9824561403509,138620,2025.482456140351,138620,71.52998077385244,1.6929824561403508,0,0.40789473684210525,1220.3947368421052,278250,8282.280701754386,1888360,228,5,41,0
68,PRV51090,7,0,2,0,3,1,1,1,2,2,3,1,2,6,5,3,5,0,10,0.0,832.8571428571429,5830,714.2857142857143,5000,152.57142857142858,1068,2831.4285714285716,1068,72.30019569471624,5.714285714285714,0,0.0,888.2857142857143,6218,3545.714285714286,24820,7,1,3,0
69,PRV51091,44,0,6,0,19,6,13,12,29,14,5,15,24,29,36,12,16,6,66,0.0,210.6818181818182,9270,7451.363636363636,327860,715.8181818181819,31496,2429.090909090909,31496,69.48773349937734,0.9318181818181818,0,0.0,1344.8636363636363,59174,9880.454545454546,434740,44,2,14,0
70,PRV51093,7,2,3,2,6,3,4,3,4,4,1,4,4,6,8,4,3,1,15,0.0,1523.3333333333333,13710,4688.888888888889,42200,593.3333333333334,5340,900.0,5340,76.18295281582954,1.4444444444444444,0,1.3333333333333333,920.0,8280,5588.888888888889,50300,9,2,4,0
71,PRV51096,5,0,1,0,3,0,2,3,4,3,0,1,3,4,3,2,1,0,7,0.0,640.0,3200,4800.0,24000,854.4,4272,3372.0,4272,85.52438356164383,4.0,0,0.0,1858.4,9292,8172.0,40860,5,1,4,0
72,PRV51097,125,0,22,0,1,1,1,47,51,42,18,34,41,90,95,39,24,9,207,0.0,355.36,44420,3302.88,412860,397.824,49728,3009.44,49728,71.3181808219178,1.744,0,0.0,1165.984,145748,6312.32,789040,125,1,8,0
73,PRV51098,4,0,1,0,2,0,2,0,4,2,1,2,2,4,4,1,3,1,6,0.0,75.0,300,15500.0,62000,1335.0,5340,2297.5,5340,82.43219178082191,0.0,0,0.0,1915.0,7660,17797.5,71190,4,1,2,0
74,PRV51100,0,5,5,5,3,1,1,1,4,2,0,1,1,3,4,0,2,0,9,0.0,15600.0,78000,15738.0,78690,1068.0,5340,742.0,5340,71.04986301369863,6.0,5,6.0,1304.0,6520,16480.0,82400,5,1,2,0
75,PRV51101,0,3,3,3,1,1,0,2,3,3,0,1,1,2,3,2,1,1,3,0.0,5533.333333333333,16600,9200.0,27600,1780.0,5340,173.33333333333334,5340,57.65205479452055,3.3333333333333335,6,3.3333333333333335,1890.0,5670,9373.333333333334,28120,3,1,3,0
76,PRV51102,0,12,12,12,3,1,1,4,8,8,1,3,4,9,11,1,6,2,15,0.0,12333.333333333334,148000,14833.333333333334,178000,1424.0,17088,739.1666666666666,17088,80.37465753424657,4.0,1,4.0,1577.3333333333333,18928,15572.5,186870,12,1,2,0
77,PRV51103,6,0,3,0,2,0,2,3,4,6,0,3,5,6,6,4,6,0,9,0.0,73.33333333333333,440,1333.3333333333333,8000,178.0,1068,1138.3333333333333,1068,77.36027397260274,0.0,0,0.0,656.3333333333334,3938,2471.6666666666665,14830,6,1,1,1
78,PRV51104,12,0,1,0,2,0,2,7,10,3,0,6,5,9,11,5,4,0,22,0.0,158.33333333333334,1900,2750.0,33000,356.0,4272,1849.1666666666667,4272,79.38812785388127,1.1666666666666667,0,0.0,761.0,9132,4599.166666666667,55190,12,1,1,0
79,PRV51105,12,0,1,0,2,1,2,6,10,7,3,4,5,11,8,4,3,0,18,0.0,545.0,6540,8048.333333333333,96580,534.0,6408,4275.0,6408,76.61415525114155,3.3333333333333335,0,0.0,1508.1666666666667,18098,12323.333333333334,147880,12,1,1,0
80,PRV51108,0,19,17,19,6,3,0,11,13,13,4,11,9,16,17,10,4,5,32,0.0,8210.526315789473,156000,13471.052631578947,255950,2184.4210526315787,41504,2044.2105263157894,41504,72.48781542898341,5.2631578947368425,3,5.2631578947368425,2662.315789473684,50584,15515.263157894737,294790,19,1,5,0
81,PRV51109,0,3,3,3,1,2,0,2,2,3,0,2,3,3,3,3,3,1,3,0.0,6000.0,18000,7833.333333333333,23500,1780.0,5340,1070.0,5340,56.7324200913242,6.333333333333333,7,6.333333333333333,2456.6666666666665,7370,8903.333333333334,26710,3,1,2,0
82,PRV51110,0,5,5,5,3,3,0,3,4,4,0,1,4,5,5,1,1,0,7,0.0,5400.0,27000,5456.0,27280,1281.6,6408,1188.0,6408,68.19890410958904,10.2,1,10.2,1555.6,7778,6644.0,33220,5,3,5,0
83,PRV51111,132,0,24,0,4,2,2,49,72,69,27,38,54,101,91,38,36,18,211,0.0,415.6060606060606,54860,2891.212121212121,381640,372.1818181818182,49128,3962.121212121212,49128,73.15857202158571,2.462121212121212,0,0.0,1397.560606060606,184478,6853.333333333333,904640,132,1,4,0
84,PRV51112,303,0,57,0,7,7,6,114,170,131,42,86,118,222,220,97,99,22,487,0.0,347.1287128712871,105180,3805.0495049504952,1152930,393.2013201320132,119140,3190.2310231023102,119140,71.80005425200055,1.8514851485148516,0,0.0,1251.947194719472,379340,6995.2805280528055,2119570,304,1,6,0
85,PRV51113,132,0,25,0,2,2,1,48,69,54,15,47,36,96,106,40,46,5,207,0.0,351.43939393939394,46390,2906.6666666666665,383680,356.0,46992,3128.560606060606,46992,71.8711706102117,1.5454545454545454,0,0.0,1123.3484848484848,148282,6035.227272727273,796650,132,1,4,0
86,PRV51114,262,0,60,0,5,4,3,90,166,101,35,84,107,202,201,76,95,18,409,0.0,292.82442748091603,76720,3903.587786259542,1022740,507.64885496183206,133004,2914.8473282442746,133004,70.83750914984837,1.1984732824427482,0,0.0,1221.1603053435115,319944,6818.435114503817,1786430,262,1,7,0
87,PRV51115,7,0,2,0,3,1,3,3,3,2,1,3,5,6,4,0,2,0,13,0.0,140.0,980,4142.857142857143,29000,762.8571428571429,5340,1530.0,5340,73.08571428571427,0.0,0,0.0,1237.142857142857,8660,5672.857142857143,39710,7,1,2,0
88,PRV51117,12,0,2,0,4,0,3,3,12,7,5,5,5,11,12,3,5,1,18,0.0,162.5,1950,5791.666666666667,69500,534.0,6408,4857.5,6408,69.08287671232877,1.75,0,0.0,1235.6666666666667,14828,10649.166666666666,127790,12,2,5,0
89,PRV51118,0,15,15,15,4,4,1,4,11,8,2,6,7,12,12,8,4,2,24,0.0,7600.0,114000,13477.333333333334,202160,1828.5333333333333,27428,1239.3333333333333,27428,68.04164383561644,4.266666666666667,3,4.266666666666667,2232.5333333333333,33488,14716.666666666666,220750,16,1,5,0
